@relation D__weibo_category9_noNISegment

@attribute text string
@attribute @@class@@ {体育,军事,历史,时事,汽车,电影,科技,综艺娱乐,美食}

@data

' Bomb 街上 收到 礼物 第三 哥 神',汽车
' 锅 腊味 煲 仔 饭 伴 秋风',美食
' 全世界 公 知 联合 excuse',历史
' 次 机会 安利 爱 豆 张 鈭',科技
' 家人 Kobe Bryant 状态',体育
' 厉害 弟',汽车
' 恩佐 法拉利 改 开 奔驰',汽车
' 秒拍 碟 蔬菜 小家伙 吃 鲜城 家 货 香 做法 肉 秒拍 战略微评 白彩然' ,军事
' 炒 酱 爆 猪肝',美食
' 百度地图 百度 地图 地图 高德地图 合并 类似 BAT 之间 对抗 合并' ,科技
' 欠 堆 文 债 勤快 拖 洗 衣服',历史
' 开 源 人工智能 AI 前沿 项目' ,科技
' 科 现身 观战 WNBA 发福 辣',体育
' 吴亦凡 影 帝 喜欢',电影
' 入迷',科技
' 家 孩子 莫大 舅舅 作品 莫大 kuwoa 录制',综艺娱乐
' 做饭 男人 迷人 理由 同意',美食
' 涨姿势 世界 豪 车 引擎 发布 文章 头 条 头 日常 车 标的 意义' ,汽车
' 雪糕 界 霸主 吃 鲜城 秀 味道 不可辜负 家 货 美味 家 秀 货' ,美食
' 小伙伴 惊 线 恐怖 高 线 悚 高 线 恐怖 呆 美国 别墅 价格' ,历史
' 榴莲 真 爱',美食
' 烹 鲜 治 大国 烹 鲜 治 大国',历史
' 黄子韬 真正男子汉 蒋劲夫 片 杨幂 蒋劲夫 佟丽娅 幂 新片 花 大汗淋漓 黄子韬 真 爆' ,综艺娱乐
' 装 逼 说实话 体制 人士 浅薄 观点 感到 笑',历史
' 练 完 卡',综艺娱乐
' 星星 料理 始终 放弃 芝麻 香油 Hyesung 申 彗星',历史
' 宁泽涛 小伙伴 宁泽涛 视 源 小米fan粒粒',体育
' 恐怖 发现 高 线 喜剧 高 类 摩托车 追 尾 司机 掉 立交桥' ,汽车
' 干 杯 牛奶 顺便 杯子 吃',美食
' 冠军 旗帜',体育
' 周星驰 电影 片 推荐 部 片 惊 悚 推荐 剪辑 音乐 响起 感动 回忆' ,电影
' 文化 太 可怕 中国式 吃 鲜城 秀 味道 不可辜负 家 货 家 秀 货' ,美食
' 赛季 联 场 全场 场 联盟 控 卫 排名' ,体育
' 东瀛 法拉利 ACURA NSX 东瀛 战神 NISSAN GT 选',汽车
' 易 烊 玺 选 左边 右边',综艺娱乐
' 景泰蓝 制作 工艺 流程图 古人 智慧 折服',历史
' 拔丝 红薯 孩子 饭店 喜欢 家 道 经典 甜食' ,美食
' 补发 组 勇士 VS 湖 库图',体育
' 冰冰 晨抱 李晨 范冰冰 搜狐 配 字 馃 挴',综艺娱乐
' 伊斯科 昨天 球队 队 支 球 场 比赛 结束 场 球 锔 忥 笍' ,体育
' 大哥 太 热情 上海 淮海路',汽车
' 中式 糯米 糍 做法 喜欢 赶紧 简单 好吃 菜谱 美味 赶紧 喜欢 喜欢 马克起来' ,美食
' 详细 沈阳故宫 同步 新浪看点 详细 沈阳故宫',历史
' SM 手 机壳 真心 低调 SUZIEIZUS',科技
' 世界 早餐 一览 早餐 自持 饿',美食
' NBA 战士 神话',体育
' 湖 色',历史
' iAcro iAcro 霓虹 国 stancenation 台 场 聚会 现身',汽车
' 哲人 王 概念 我国 算 一半',历史
' 自制凉皮 味道 家 赞 夏天 凉 皮 碗 美食' ,美食
' 小国 无所畏惧 邪 魅 狂 狷 笑',军事
' 乱 停车 后果 捐 血',汽车
' 璀璨 星空 亘古 无穷 苍茫 宇宙',科技
' 天籁 华晨宇 战 华晨宇 爆发力 不错' ,综艺娱乐
' 幕 鹿晗 太 暖 心',综艺娱乐
' 国际 联 场 全场 正确 角度 男 队 队员 学 点' ,体育
' 超级 周 军事 美 笑 超级 周 周 世界 舰船 天 降 大任 斯' ,军事
' 今晚 party 结伴 出行 懂',汽车
' V影响力峰会 专业 精彩 媒体 影响力 相约 10月 家 国 15日 26日 散' ,时事
' 卧槽 细 思 恐',科技
' 部 片 惊 恐怖 悚 推荐 手机 输入 莆田 系 医院 高德 地图 百度地图' ,历史
' 当归 Cafe Morning coffee photos 黄小毛',美食
' 史记 发人深省 句子 史记 发人深省 句子',历史
' 金鹰节 颁奖 届 晚会 第十一 颁奖 届 凯莉 郑晓龙 台上 互动 别扭 主持人 紧张' ,综艺娱乐
' 纪念 Java 知识',科技
' 曹华恩 Grace 姐姐 花儿 美 笑 真 可爱 捏' ,综艺娱乐
' 本田机车 博物馆',汽车
' 超 豪华 焗 土豆泥 芝士 控',美食
' 故宫 博物院 战国 螭 梁 盉',历史
' 机长 车',汽车
' 马拉松 真 夺 命',科技
' 痛心 美国 号 中国 记者 10月 艘 美 10月 短跑 名将 盖伊 女儿 遭枪击身亡' ,体育
' 炅 上班 宝宝 今晚 辛苦',综艺娱乐
' 道 美味 饭菜 喜欢 家 道' ,美食
' 水果 层 蛋糕 外表 全 实打实 块 水果 喔',美食
' 上次 利物浦 德赫亚 场 联 场 全场 夺冠 时 样子 twitter' ,体育
' 冷藏 海报 Studebaker Avanti 周 晚安',汽车
' 酱 汁 杏 鲍 菇 吃 鲜城 味道 不可辜负 家 货 肉 嘴 瘾' ,美食
' 超级 周 军事 美 笑 超级 周 周 强大 埃及 陆军 第6 装甲 师' ,军事
' 足球 球 曼 利物浦 联 联 场 巴勒斯坦 岁 神童 C罗 足球 球 录制' ,体育
' 阿里 成长 路径 谢世煌',科技
' 杨幂 佟丽娅 幂 真正男子汉 蒋劲夫 片 杨幂 休息 可爱 训练 wuli 幂 幂 杨幂' ,综艺娱乐
' 詹姆斯韦德 防守 对手 丝 松懈 下场 难',体育
' 爱上 足球',体育
' CROWN 皇冠 车 引擎 发布 文章 条 头 条 头 日常 不务正业 玩 改装' ,汽车
' 洛阳 古墓 博物馆',历史
' 宠 女朋友 正确 方式',科技
' 热烈 祝贺 神舟 十一 号 第21 发射 号 舟 号 成功' ,综艺娱乐
' 威 灵 顿 牛排 做法 喜欢 赶紧 简单 好吃 赶紧 喜欢 简单 蜜汁 自信' ,美食
' 羽毛球 李龙大 退役 采访 李 龙 退役 采访',体育
' 霍 排气 死',汽车
' 距离 赛季 联 场 全场 场 安菲尔德 首 场 双红 小时 WeAreLiverpool' ,体育
' 教育 意义 成天 不劳而获 回 劳 获 车 引擎 发布 条 头 日常 车' ,汽车
' 喜 喜欢 家 喜 喜欢 行 湄公河 早安' ,电影
' 皮 卡 公路 超导体',汽车
' 皇家 蛙人 接受 女王 检阅',军事
' 鹿晗 张 图 feel',综艺娱乐
' 超级 周 军事 美 超级 周 周 哭 中国 尊严 军人 军 中国 粉' ,军事
' 奇异博士 中国 记者 10月 家 国 15日 艘 美 笑 宣传 扇子 摇' ,电影
' 读 长城内外 长城内外 豆瓣App',历史
' 萌 萌 蛋黄 君 合集',美食
' 汽车 头 日常 车 引擎 发布 条 头 日常 日常 完 路 算 累' ,汽车
' 超级 周 军事 美 笑 超级 周 周 朱姆 沃尔特 DDG1000 服役 仪式' ,军事
' 孩子 真的 越发 帅气',综艺娱乐
' 香蕉 派 香蕉 吃 鲜城 味道 不可辜负 家 货 饭桌 道 小菜 收 试试' ,美食
' 厉害 的哥 骑车 女友 在家',汽车
' 糖醋鱼 吃 鲜城 秀 味道 家 不可辜负 家 货 美味 家 秀 糖醋鱼 动手' ,美食
' 科 加 索 昔日 燃 情 岁月 怀念',体育
' 手机 内存 4GB 够 米粉 6GB 内存 手机 场景',科技
' 奥迪 R8 Spyder 颜色 美',汽车
' 结婚 买 床 次 回家 感觉 食欲 大增',美食
